Threshold,Take Profit Percent,Stop Loss Percent,Trade Returns,Number of Trades
0.68,0.01,-0.03,2.1416301504753323,6874
0.42,0.01,-0.01,2.135741427301367,12764
0.38,0.03,-0.04,2.133346023840465,13730
0.47,0.01,-0.04,2.131563911111456,11508
0.45,0.02,-0.03,2.1310475205046124,11961
0.39,0.01,-0.04,2.1215014040410867,13470
0.63,0.01,-0.03,2.1189363429322605,7766
0.39,0.02,-0.04,2.1145015066094865,13470
0.42,0.02,-0.03,2.1044642841891728,12764
0.39,0.05,-0.04,2.092121668594551,13470
0.59,0.01,-0.03,2.0778865720129547,8506
0.55,0.01,-0.03,2.0776884859361027,9306
0.56,0.01,-0.03,2.065630004830522,9087
0.65,0.01,-0.03,2.0504324799556914,7411
0.36,0.03,-0.03,2.0480252459529042,14468
0.4,0.05,-0.04,2.0464172973079933,13239
0.4,0.02,-0.04,2.0280856557702642,13239
0.41,0.01,-0.01,2.0244606095736546,13028
0.4,0.01,-0.01,2.0222213134894926,13239
0.44,0.02,-0.03,2.017167766038664,12227
0.43,0.02,-0.02,2.011859021364679,12518
0.42,0.02,-0.04,2.0116871689844853,12764
0.41,0.01,-0.04,2.007246573502091,13028
0.37,0.01,-0.01,2.001068219920413,14104
0.4,0.02,-0.03,1.9860264515007398,13239
0.49,0.02,-0.03,1.9774396389505362,11003
0.44,0.02,-0.04,1.9756277729747402,12227
0.41,0.02,-0.03,1.9717809418582712,13028
0.43,0.05,-0.04,1.9708123831501354,12518
0.46,0.01,-0.04,1.9707038364703668,11744
0.45,0.02,-0.04,1.9696047668001293,11961
0.48,0.02,-0.04,1.9672455491769354,11283
0.49,0.02,-0.02,1.9591890618634953,11003
0.64,0.01,-0.03,1.951662189508507,7577
0.6,0.01,-0.03,1.950939514341393,8257
0.42,0.01,-0.04,1.9461565373616156,12764
0.69,0.01,-0.03,1.944884338753521,6669
0.38,0.04,-0.03,1.9443413537641707,13730
0.38,0.02,-0.05,1.9301563816066758,13730
0.36,0.01,-0.01,1.9047384647495893,14468
0.37,0.02,-0.02,1.86196716622272,14104
0.38,0.01,-0.01,1.8552595916082992,13730
0.41,0.05,-0.04,1.8362901246004883,13028
0.36,0.03,-0.05,1.819638938548086,14468
0.43,0.01,-0.05,1.816482412713568,12518
0.39,0.02,-0.03,1.806911142743575,13470
0.39,0.01,-0.01,1.8018510468257567,13470
0.41,0.02,-0.04,1.7995271030481097,13028
0.49,0.02,-0.04,1.7947750969303922,11003
0.43,0.05,-0.03,1.7887054038396353,12518
0.4,0.05,-0.03,1.7811671097449473,13239
0.49,0.01,-0.05,1.7731737089522035,11003
0.41,0.05,-0.03,1.7697974206228602,13028
0.7,0.01,-0.03,1.7557029757408946,6452
0.45,0.02,-0.02,1.7238057862663683,11961
0.52,0.01,-0.04,1.7212579808928679,10146
0.38,0.03,-0.03,1.7149301990749162,13730
0.42,0.05,-0.04,1.6846034738575377,12764
0.62,0.01,-0.03,1.6776584307769642,7942
0.36,0.02,-0.02,1.669061419961569,14468
0.37,0.03,-0.05,1.6677032983209266,14104
0.45,0.01,-0.05,1.6651132974140175,11961
0.5,0.02,-0.02,1.6601496000563387,10692
0.31,0.02,-0.01,1.655170590439872,16285
0.46,0.02,-0.03,1.6480433031015889,11744
0.61,0.01,-0.03,1.646166198830952,8071
0.42,0.05,-0.03,1.6380131635064634,12764
0.39,0.05,-0.03,1.595444516294255,13470
0.47,0.02,-0.03,1.567290460979564,11508
0.43,0.02,-0.05,1.5526166360318763,12518
0.67,0.02,-0.02,1.5440188609966343,7050
0.42,0.02,-0.02,1.5390725705323212,12764
0.43,0.03,-0.04,1.5378038663576723,12518
0.46,0.02,-0.04,1.5243473454964631,11744
0.38,0.04,-0.05,1.5227117400505785,13730
0.47,0.02,-0.02,1.5044405718619152,11508
0.4,0.01,-0.05,1.495031533772782,13239
0.3,0.05,-0.02,1.4881940479164073,16564
0.33,0.02,-0.01,1.4716090039913745,15688
0.5,0.02,-0.03,1.4704756755327926,10692
0.53,0.01,-0.04,1.4694197034199052,9871
0.51,0.01,-0.05,1.4671070136046473,10433
0.51,0.02,-0.02,1.4633986986050493,10433
0.41,0.02,-0.02,1.4582686575373895,13028
0.34,0.02,-0.01,1.4558364200634,15323
0.47,0.01,-0.05,1.4469812319734232,11508
0.44,0.01,-0.05,1.4410757121543576,12227
0.46,0.02,-0.02,1.440162799913838,11744
0.43,0.03,-0.03,1.4307835779088067,12518
0.44,0.02,-0.02,1.4270726686707158,12227
0.39,0.01,-0.05,1.4245735437909317,13470
0.38,0.02,-0.02,1.4196515323344996,13730
0.53,0.02,-0.02,1.413800824100775,9871
0.32,0.02,-0.01,1.3976442015472723,15986
0.51,0.02,-0.03,1.393372258992599,10433
0.47,0.02,-0.04,1.386517181769599,11508
0.68,0.02,-0.02,1.3810249197311388,6874
0.54,0.01,-0.04,1.3805316176017834,9613
0.34,0.05,-0.02,1.3673595548863446,15323
0.5,0.01,-0.05,1.3570381311049702,10692
0.41,0.01,-0.05,1.35306856945097,13028
0.66,0.02,-0.02,1.334589585573262,7228
0.48,0.05,-0.03,1.326704160634853,11283
0.57,0.01,-0.04,1.3067511763523663,8928
0.39,0.04,-0.04,1.2949175171427227,13470
0.48,0.03,-0.03,1.2915401494936105,11283
0.63,0.02,-0.02,1.277444192995725,7766
0.31,0.05,-0.02,1.2706440212113899,16285
0.64,0.03,-0.01,1.269566637846818,7577
0.52,0.02,-0.02,1.260306860493706,10146
0.49,0.05,-0.03,1.247535535596436,11003
0.69,0.02,-0.02,1.246828138098311,6669
0.4,0.02,-0.02,1.2458010942578872,13239
0.4,0.04,-0.04,1.2377384134703742,13239
0.42,0.01,-0.05,1.2317878315247899,12764
0.64,0.02,-0.02,1.226344993913554,7577
0.48,0.05,-0.04,1.2201238737279643,11283
0.43,0.04,-0.04,1.2158665055080278,12518
0.33,0.05,-0.02,1.2091748737257058,15688
0.43,0.02,-0.01,1.2065574283552694,12518
0.64,0.02,-0.01,1.197758243019521,7577
0.51,0.02,-0.04,1.1976037067406162,10433
0.5,0.02,-0.04,1.1920292442475775,10692
0.35,0.02,-0.01,1.1887799904313772,14952
0.39,0.03,-0.04,1.1855717096621952,13470
0.49,0.05,-0.04,1.1763189678813117,11003
0.39,0.05,-0.05,1.1712505553817492,13470
0.49,0.03,-0.03,1.1646291691755701,11003
0.59,0.02,-0.02,1.164326678820911,8506
0.4,0.05,-0.05,1.1491462988129406,13239
0.46,0.01,-0.05,1.1471255986500877,11744
0.67,0.02,-0.01,1.140230089000519,7050
0.67,0.03,-0.01,1.137672073317805,7050
0.7,0.02,-0.02,1.1361822256968628,6452
0.67,0.02,-0.03,1.1356198015775048,7050
0.35,0.05,-0.02,1.1335844829316062,14952
0.48,0.02,-0.01,1.129170936467925,11283
0.65,0.02,-0.02,1.1278681249368383,7411
0.6,0.02,-0.02,1.1260558840832944,8257
0.67,0.01,-0.04,1.1224580030575466,7050
0.68,0.02,-0.01,1.121000608160038,6874
0.42,0.03,-0.03,1.110635903152562,12764
0.48,0.03,-0.04,1.1062888094504246,11283
0.54,0.02,-0.02,1.1057627297056982,9613
0.32,0.05,-0.02,1.096969904243433,15986
0.43,0.04,-0.03,1.0958102064525086,12518
0.68,0.01,-0.04,1.0905647876950124,6874
0.58,0.01,-0.04,1.087499253488844,8733
0.45,0.03,-0.03,1.087126261374099,11961
0.44,0.05,-0.04,1.0843316629718287,12227
0.42,0.03,-0.04,1.082139522641991,12764
0.39,0.02,-0.05,1.080129848186628,13470
0.61,0.02,-0.02,1.0770476647432983,8071
0.66,0.03,-0.01,1.0732788134444744,7228
0.41,0.03,-0.03,1.0643223132531567,13028
0.4,0.04,-0.03,1.062181125879424,13239
0.4,0.03,-0.04,1.0529341992401986,13239
0.38,0.03,-0.05,1.0527908926939489,13730
0.49,0.02,-0.01,1.0423154202811007,11003
0.43,0.05,-0.05,1.0412432405746606,12518
0.59,0.02,-0.01,1.039883083482252,8506
0.55,0.01,-0.04,1.035282978055747,9306
0.65,0.03,-0.01,1.0272471603176845,7411
0.66,0.02,-0.01,1.0240757347395657,7228
0.66,0.02,-0.03,1.0193199409941478,7228
0.49,0.03,-0.04,1.0147415483241609,11003
0.4,0.02,-0.05,1.0046436171611899,13239
0.44,0.05,-0.03,1.001419090027484,12227
0.57,0.02,-0.02,0.9945338453847092,8928
0.44,0.03,-0.04,0.9937850842080453,12227
0.52,0.02,-0.03,0.9903462196428168,10146
0.68,0.03,-0.01,0.9901511298948625,6874
0.44,0.03,-0.03,0.9833073546634422,12227
0.45,0.03,-0.04,0.9777012302781398,11961
0.58,0.02,-0.02,0.9761851254595924,8733
0.41,0.04,-0.03,0.9714135619118295,13028
0.42,0.02,-0.05,0.966848969448912,12764
0.59,0.01,-0.04,0.9665052554687938,8506
0.45,0.02,-0.01,0.9657811279800192,11961
0.69,0.02,-0.01,0.9648569581593186,6669
0.62,0.02,-0.02,0.963406889199467,7942
0.68,0.02,-0.03,0.963387525251634,6874
0.37,0.05,-0.02,0.9616595740947801,14104
0.41,0.03,-0.04,0.9563492091371176,13028
0.63,0.01,-0.04,0.9546949252652689,7766
0.65,0.02,-0.03,0.9539609514001759,7411
0.39,0.02,-0.02,0.9512170578986555,13470
0.67,0.03,-0.02,0.9508606281943546,7050
0.4,0.03,-0.03,0.9499696231337157,13239
0.41,0.04,-0.04,0.9482133659173664,13028
0.56,0.01,-0.04,0.9468471327606043,9087
0.66,0.01,-0.04,0.9428649831626524,7228
0.7,0.02,-0.01,0.9269237220361051,6452
0.42,0.04,-0.03,0.9250744839093503,12764
0.3,0.04,-0.02,0.9236766707885913,16564
0.45,0.05,-0.03,0.918871052541734,11961
0.41,0.05,-0.05,0.91443754435202,13028
0.69,0.01,-0.04,0.9141946406319156,6669
0.42,0.04,-0.04,0.9096141140054342,12764
0.53,0.02,-0.03,0.9077339774047,9871
0.48,0.02,-0.05,0.9075806252122568,11283
0.45,0.05,-0.04,0.8892546117648732,11961
0.63,0.02,-0.01,0.8880413612683445,7766
0.64,0.02,-0.03,0.8879554522172688,7577
0.39,0.04,-0.03,0.8879332648145168,13470
0.6,0.02,-0.01,0.88128270055524,8257
0.7,0.01,-0.04,0.8706428629570202,6452
0.61,0.02,-0.01,0.8686480069592101,8071
0.67,0.03,-0.03,0.8683326639280305,7050
0.65,0.03,-0.03,0.8662995713388743,7411
0.63,0.03,-0.01,0.8632403779552945,7766
0.65,0.02,-0.01,0.8524903976484467,7411
0.39,0.03,-0.03,0.8511801688184447,13470
0.57,0.02,-0.01,0.8416769935661088,8928
0.69,0.03,-0.01,0.8408352949617469,6669
0.37,0.02,-0.01,0.8244068574604645,14104
0.6,0.01,-0.04,0.8232851747000114,8257
0.6,0.03,-0.01,0.8224113205294866,8257
0.61,0.03,-0.01,0.8214646769860314,8071
0.58,0.02,-0.01,0.8207632435795256,8733
0.3,0.03,-0.02,0.8192398046205642,16564
0.7,0.03,-0.01,0.8127410729513155,6452
0.34,0.04,-0.02,0.8121319294081625,15323
0.44,0.02,-0.05,0.8095480403070519,12227
0.69,0.02,-0.03,0.8078101285462397,6669
0.66,0.03,-0.03,0.800727761087753,7228
0.65,0.01,-0.04,0.7970987154069619,7411
0.53,0.02,-0.01,0.7898613904640478,9871
0.5,0.05,-0.03,0.7884857236752091,10692
